"ID","Title","URL","Is Premium","Acceptance %","Difficulty","Frequency %"
'253', 'Meeting Rooms II', '/problems/meeting-rooms-ii', 'Y', '50.5%', 'Medium', '50.7493%;'
'726', 'Number of Atoms', '/problems/number-of-atoms', 'N', '52.2%', 'Hard', '50.4599%;'
'975', 'Odd Even Jump', '/problems/odd-even-jump', 'N', '38.8%', 'Hard', '50.4599%;'
'1606', 'Find Servers That Handled Most Number of Requests', '/problems/find-servers-that-handled-most-number-of-requests', 'N', '42.9%', 'Hard', '50.4599%;'
'2135', 'Count Words Obtained After Adding a Letter', '/problems/count-words-obtained-after-adding-a-letter', 'N', '42.8%', 'Medium', '47.6406%;'
'394', 'Decode String', '/problems/decode-string', 'N', '57.6%', 'Medium', '47.2787%;'
'2184', 'Number of Ways to Build Sturdy Brick Wall', '/problems/number-of-ways-to-build-sturdy-brick-wall', 'Y', '51.6%', 'Medium', '47.1993%;'
'1499', 'Max Value of Equation', '/problems/max-value-of-equation', 'N', '46.4%', 'Hard', '46.2371%;'
'2277', 'Closest Node to Path in Tree', '/problems/closest-node-to-path-in-tree', 'Y', '63.9%', 'Hard', '46.2371%;'
'1423', 'Maximum Points You Can Obtain from Cards', '/problems/maximum-points-you-can-obtain-from-cards', 'N', '52.3%', 'Medium', '45.5051%;'
'2345', 'Finding the Number of Visible Mountains', '/problems/finding-the-number-of-visible-mountains', 'Y', '44.0%', 'Medium', '45.0343%;'
'282', 'Expression Add Operators', '/problems/expression-add-operators', 'N', '39.2%', 'Hard', '44.5673%;'
'792', 'Number of Matching Subsequences', '/problems/number-of-matching-subsequences', 'N', '51.9%', 'Medium', '44.3605%;'
'720', 'Longest Word in Dictionary', '/problems/longest-word-in-dictionary', 'N', '51.8%', 'Medium', '44.131%;'
'839', 'Similar String Groups', '/problems/similar-string-groups', 'N', '47.7%', 'Hard', '42.863%;'
'1697', 'Checking Existence of Edge Length Limited Paths', '/problems/checking-existence-of-edge-length-limited-paths', 'N', '50.5%', 'Hard', '42.863%;'
'1825', 'Finding MK Average', '/problems/finding-mk-average', 'N', '35.3%', 'Hard', '42.1991%;'
'2271', 'Maximum White Tiles Covered by a Carpet', '/problems/maximum-white-tiles-covered-by-a-carpet', 'N', '32.7%', 'Medium', '42.118%;'
'2311', 'Longest Binary Subsequence Less Than or Equal to K', '/problems/longest-binary-subsequence-less-than-or-equal-to-k', 'N', '36.4%', 'Medium', '41.4061%;'
'1102', 'Path With Maximum Minimum Value', '/problems/path-with-maximum-minimum-value', 'Y', '53.3%', 'Medium', '40.0717%;'
'1363', 'Largest Multiple of Three', '/problems/largest-multiple-of-three', 'N', '33.4%', 'Hard', '40.0717%;'
'458', 'Poor Pigs', '/problems/poor-pigs', 'N', '64.4%', 'Hard', '39.9697%;'
'317', 'Shortest Distance from All Buildings', '/problems/shortest-distance-from-all-buildings', 'Y', '42.9%', 'Hard', '39.79%;'
'2128', 'Remove All Ones With Row and Column Flips', '/problems/remove-all-ones-with-row-and-column-flips', 'Y', '76.4%', 'Medium', '38.7118%;'
'2366', 'Minimum Replacements to Sort the Array', '/problems/minimum-replacements-to-sort-the-array', 'N', '39.9%', 'Hard', '38.7118%;'
'2178', 'Maximum Split of Positive Even Integers', '/problems/maximum-split-of-positive-even-integers', 'N', '59.1%', 'Medium', '38.263%;'
'1136', 'Parallel Courses', '/problems/parallel-courses', 'Y', '62.0%', 'Medium', '38.0596%;'
'1263', 'Minimum Moves to Move a Box to Their Target Location', '/problems/minimum-moves-to-move-a-box-to-their-target-location', 'N', '49.0%', 'Hard', '37.7048%;'
'652', 'Find Duplicate Subtrees', '/problems/find-duplicate-subtrees', 'N', '56.5%', 'Medium', '37.4632%;'
'636', 'Exclusive Time of Functions', '/problems/exclusive-time-of-functions', 'N', '61.1%', 'Medium', '36.6471%;'
'200', 'Number of Islands', '/problems/number-of-islands', 'N', '56.4%', 'Medium', '36.4491%;'
'393', 'UTF-8 Validation', '/problems/utf-8-validation', 'N', '45.2%', 'Medium', '36.1453%;'
'642', 'Design Search Autocomplete System', '/problems/design-search-autocomplete-system', 'Y', '48.7%', 'Hard', '36.1453%;'
'593', 'Valid Square', '/problems/valid-square', 'N', '44.0%', 'Medium', '36.047%;'
'1889', 'Minimum Space Wasted From Packaging', '/problems/minimum-space-wasted-from-packaging', 'N', '30.7%', 'Hard', '35.6601%;'
'1882', 'Process Tasks Using Servers', '/problems/process-tasks-using-servers', 'N', '39.6%', 'Medium', '35.0375%;'
'2426', 'Number of Pairs Satisfying Inequality', '/problems/number-of-pairs-satisfying-inequality', 'N', '42.2%', 'Hard', '35.0375%;'
'1834', 'Single-Threaded CPU', '/problems/single-threaded-cpu', 'N', '42.0%', 'Medium', '34.736%;'
'871', 'Minimum Number of Refueling Stops', '/problems/minimum-number-of-refueling-stops', 'N', '39.9%', 'Hard', '34.278%;'
'302', 'Smallest Rectangle Enclosing Black Pixels', '/problems/smallest-rectangle-enclosing-black-pixels', 'Y', '58.2%', 'Hard', '33.8681%;'
'1376', 'Time Needed to Inform All Employees', '/problems/time-needed-to-inform-all-employees', 'N', '58.4%', 'Medium', '33.8681%;'
'1554', 'Strings Differ by One Character', '/problems/strings-differ-by-one-character', 'Y', '43.2%', 'Medium', '33.8681%;'
'679', '24 Game', '/problems/24-game', 'N', '49.1%', 'Hard', '32.7887%;'
'252', 'Meeting Rooms', '/problems/meeting-rooms', 'Y', '57.1%', 'Easy', '32.712%;'
'1088', 'Confusing Number II', '/problems/confusing-number-ii', 'Y', '46.5%', 'Hard', '32.2792%;'
'1885', 'Count Pairs in Two Arrays', '/problems/count-pairs-in-two-arrays', 'Y', '59.3%', 'Medium', '32.2792%;'
'1647', 'Minimum Deletions to Make Character Frequencies Unique', '/problems/minimum-deletions-to-make-character-frequencies-unique', 'N', '59.2%', 'Medium', '32.2193%;'
'1473', 'Paint House III', '/problems/paint-house-iii', 'N', '61.9%', 'Hard', '32.1135%;'
'1506', 'Find Root of N-Ary Tree', '/problems/find-root-of-n-ary-tree', 'Y', '78.2%', 'Medium', '32.1135%;'
'2337', 'Move Pieces to Obtain a String', '/problems/move-pieces-to-obtain-a-string', 'N', '48.1%', 'Medium', '32.1135%;'
'1197', 'Minimum Knight Moves', '/problems/minimum-knight-moves', 'Y', '39.7%', 'Medium', '31.9092%;'
'2364', 'Count Number of Bad Pairs', '/problems/count-number-of-bad-pairs', 'N', '40.7%', 'Medium', '31.4703%;'
'732', 'My Calendar III', '/problems/my-calendar-iii', 'N', '71.6%', 'Hard', '30.8568%;'
'1220', 'Count Vowels Permutation', '/problems/count-vowels-permutation', 'N', '60.6%', 'Hard', '30.8568%;'
'1820', 'Maximum Number of Accepted Invitations', '/problems/maximum-number-of-accepted-invitations', 'Y', '49.8%', 'Medium', '30.8568%;'
'2258', 'Escape the Spreading Fire', '/problems/escape-the-spreading-fire', 'N', '34.6%', 'Hard', '30.8568%;'
'1851', 'Minimum Interval to Include Each Query', '/problems/minimum-interval-to-include-each-query', 'N', '47.8%', 'Hard', '29.7097%;'
'745', 'Prefix and Suffix Search', '/problems/prefix-and-suffix-search', 'N', '41.3%', 'Hard', '29.5732%;'
'967', 'Numbers With Same Consecutive Differences', '/problems/numbers-with-same-consecutive-differences', 'N', '57.1%', 'Medium', '29.5732%;'
'2276', 'Count Integers in Intervals', '/problems/count-integers-in-intervals', 'N', '34.2%', 'Hard', '29.1724%;'
'210', 'Course Schedule II', '/problems/course-schedule-ii', 'N', '48.0%', 'Medium', '28.6869%;'
'1218', 'Longest Arithmetic Subsequence of Given Difference', '/problems/longest-arithmetic-subsequence-of-given-difference', 'N', '51.8%', 'Medium', '27.6864%;'
'135', 'Candy', '/problems/candy', 'N', '40.8%', 'Hard', '27.5703%;'
'150', 'Evaluate Reverse Polish Notation', '/problems/evaluate-reverse-polish-notation', 'N', '44.1%', 'Medium', '27.5369%;'
'13', 'Roman to Integer', '/problems/roman-to-integer', 'N', '58.2%', 'Easy', '26.5603%;'
'2035', 'Partition Array Into Two Arrays to Minimize Sum Difference', '/problems/partition-array-into-two-arrays-to-minimize-sum-difference', 'N', '18.3%', 'Hard', '26.2131%;'
'1110', 'Delete Nodes And Return Forest', '/problems/delete-nodes-and-return-forest', 'N', '69.3%', 'Medium', '25.9019%;'
'2127', 'Maximum Employees to Be Invited to a Meeting', '/problems/maximum-employees-to-be-invited-to-a-meeting', 'N', '33.5%', 'Hard', '25.4591%;'
'57', 'Insert Interval', '/problems/insert-interval', 'N', '38.0%', 'Medium', '25.3153%;'
'388', 'Longest Absolute File Path', '/problems/longest-absolute-file-path', 'N', '46.5%', 'Medium', '25.1732%;'
'889', 'Construct Binary Tree from Preorder and Postorder Traversal', '/problems/construct-binary-tree-from-preorder-and-postorder-traversal', 'N', '70.8%', 'Medium', '25.1732%;'
'1171', 'Remove Zero Sum Consecutive Nodes from Linked List', '/problems/remove-zero-sum-consecutive-nodes-from-linked-list', 'N', '43.0%', 'Medium', '25.1732%;'
'128', 'Longest Consecutive Sequence', '/problems/longest-consecutive-sequence', 'N', '48.9%', 'Medium', '25.0534%;'
'299', 'Bulls and Cows', '/problems/bulls-and-cows', 'N', '48.7%', 'Medium', '24.9903%;'
'1091', 'Shortest Path in Binary Matrix', '/problems/shortest-path-in-binary-matrix', 'N', '44.5%', 'Medium', '24.8551%;'
'1074', 'Number of Submatrices That Sum to Target', '/problems/number-of-submatrices-that-sum-to-target', 'N', '69.8%', 'Hard', '24.6223%;'
'146', 'LRU Cache', '/problems/lru-cache', 'N', '40.5%', 'Medium', '24.5937%;'
'1004', 'Max Consecutive Ones III', '/problems/max-consecutive-ones-iii', 'N', '63.4%', 'Medium', '24.4226%;'
'1', 'Two Sum', '/problems/two-sum', 'N', '49.1%', 'Easy', '24.3305%;'
'354', 'Russian Doll Envelopes', '/problems/russian-doll-envelopes', 'N', '38.3%', 'Hard', '24.0566%;'
'379', 'Design Phone Directory', '/problems/design-phone-directory', 'Y', '51.0%', 'Medium', '23.8443%;'
'629', 'K Inverse Pairs Array', '/problems/k-inverse-pairs-array', 'N', '42.9%', 'Hard', '23.8443%;'
'2185', 'Counting Words With a Given Prefix', '/problems/counting-words-with-a-given-prefix', 'N', '77.0%', 'Easy', '23.5773%;'
'56', 'Merge Intervals', '/problems/merge-intervals', 'N', '46.0%', 'Medium', '23.5663%;'
'353', 'Design Snake Game', '/problems/design-snake-game', 'Y', '39.1%', 'Medium', '23.1186%;'
'1986', 'Minimum Number of Work Sessions to Finish the Tasks', '/problems/minimum-number-of-work-sessions-to-finish-the-tasks', 'N', '33.1%', 'Medium', '23.1186%;'
'2092', 'Find All People With Secret', '/problems/find-all-people-with-secret', 'N', '34.2%', 'Hard', '23.1186%;'
'983', 'Minimum Cost For Tickets', '/problems/minimum-cost-for-tickets', 'N', '64.4%', 'Medium', '22.9447%;'
'939', 'Minimum Area Rectangle', '/problems/minimum-area-rectangle', 'N', '53.0%', 'Medium', '22.8114%;'
'1345', 'Jump Game IV', '/problems/jump-game-iv', 'N', '44.0%', 'Hard', '22.513%;'
'1642', 'Furthest Building You Can Reach', '/problems/furthest-building-you-can-reach', 'N', '48.3%', 'Medium', '22.513%;'
'239', 'Sliding Window Maximum', '/problems/sliding-window-maximum', 'N', '46.6%', 'Hard', '22.4669%;'
'788', 'Rotated Digits', '/problems/rotated-digits', 'N', '56.9%', 'Medium', '22.4397%;'
'1138', 'Alphabet Board Path', '/problems/alphabet-board-path', 'N', '52.3%', 'Medium', '22.4397%;'
'1284', 'Minimum Number of Flips to Convert Binary Matrix to Zero Matrix', '/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix', 'N', '72.0%', 'Hard', '22.4397%;'
'731', 'My Calendar II', '/problems/my-calendar-ii', 'N', '54.8%', 'Medium', '22.223%;'
'934', 'Shortest Bridge', '/problems/shortest-bridge', 'N', '54.0%', 'Medium', '21.9584%;'
'2171', 'Removing Minimum Number of Magic Beans', '/problems/removing-minimum-number-of-magic-beans', 'N', '42.0%', 'Medium', '21.8029%;'
'62', 'Unique Paths', '/problems/unique-paths', 'N', '62.3%', 'Medium', '21.4373%;'
'1277', 'Count Square Submatrices with All Ones', '/problems/count-square-submatrices-with-all-ones', 'N', '74.4%', 'Medium', '21.3505%;'
'794', 'Valid Tic-Tac-Toe State', '/problems/valid-tic-tac-toe-state', 'N', '35.2%', 'Medium', '21.2042%;'
'951', 'Flip Equivalent Binary Trees', '/problems/flip-equivalent-binary-trees', 'N', '66.8%', 'Medium', '21.1399%;'
'1525', 'Number of Good Ways to Split a String', '/problems/number-of-good-ways-to-split-a-string', 'N', '69.4%', 'Medium', '21.1399%;'
'2250', 'Count Number of Rectangles Containing Each Point', '/problems/count-number-of-rectangles-containing-each-point', 'N', '34.1%', 'Medium', '20.64%;'
'692', 'Top K Frequent Words', '/problems/top-k-frequent-words', 'N', '56.9%', 'Medium', '20.551%;'
'894', 'All Possible Full Binary Trees', '/problems/all-possible-full-binary-trees', 'N', '80.0%', 'Medium', '20.3995%;'
'890', 'Find and Replace Pattern', '/problems/find-and-replace-pattern', 'N', '77.9%', 'Medium', '20.165%;'
'315', 'Count of Smaller Numbers After Self', '/problems/count-of-smaller-numbers-after-self', 'N', '42.8%', 'Hard', '20.0453%;'
'341', 'Flatten Nested List Iterator', '/problems/flatten-nested-list-iterator', 'N', '61.6%', 'Medium', '19.6032%;'
'938', 'Range Sum of BST', '/problems/range-sum-of-bst', 'N', '85.4%', 'Easy', '19.6032%;'
'930', 'Binary Subarrays With Sum', '/problems/binary-subarrays-with-sum', 'N', '51.0%', 'Medium', '19.2819%;'
'1052', 'Grumpy Bookstore Owner', '/problems/grumpy-bookstore-owner', 'N', '57.1%', 'Medium', '19.1254%;'
'42', 'Trapping Rain Water', '/problems/trapping-rain-water', 'N', '58.8%', 'Hard', '18.9844%;'
'524', 'Longest Word in Dictionary through Deleting', '/problems/longest-word-in-dictionary-through-deleting', 'N', '51.2%', 'Medium', '18.6719%;'
'1383', 'Maximum Performance of a Team', '/problems/maximum-performance-of-a-team', 'N', '48.9%', 'Hard', '18.6719%;'
'301', 'Remove Invalid Parentheses', '/problems/remove-invalid-parentheses', 'N', '47.1%', 'Hard', '18.2875%;'
'332', 'Reconstruct Itinerary', '/problems/reconstruct-itinerary', 'N', '41.0%', 'Hard', '18.1361%;'
'224', 'Basic Calculator', '/problems/basic-calculator', 'N', '41.2%', 'Hard', '18.0101%;'
'743', 'Network Delay Time', '/problems/network-delay-time', 'N', '51.5%', 'Medium', '18.0101%;'
'31', 'Next Permutation', '/problems/next-permutation', 'N', '37.2%', 'Medium', '17.9756%;'
'630', 'Course Schedule III', '/problems/course-schedule-iii', 'N', '40.2%', 'Hard', '17.8301%;'
'420', 'Strong Password Checker', '/problems/strong-password-checker', 'N', '14.3%', 'Hard', '17.7415%;'
'921', 'Minimum Add to Make Parentheses Valid', '/problems/minimum-add-to-make-parentheses-valid', 'N', '76.2%', 'Medium', '17.632%;'
'1155', 'Number of Dice Rolls With Target Sum', '/problems/number-of-dice-rolls-with-target-sum', 'N', '53.6%', 'Medium', '17.567%;'
'551', 'Student Attendance Record I', '/problems/student-attendance-record-i', 'N', '48.1%', 'Easy', '17.5347%;'
'2435', 'Paths in Matrix Whose Sum Is Divisible by K', '/problems/paths-in-matrix-whose-sum-is-divisible-by-k', 'N', '41.0%', 'Hard', '17.438%;'
'1254', 'Number of Closed Islands', '/problems/number-of-closed-islands', 'N', '64.2%', 'Medium', '17.3435%;'
'334', 'Increasing Triplet Subsequence', '/problems/increasing-triplet-subsequence', 'N', '42.7%', 'Medium', '17.0065%;'
'410', 'Split Array Largest Sum', '/problems/split-array-largest-sum', 'N', '53.3%', 'Hard', '16.9739%;'
'947', 'Most Stones Removed with Same Row or Column', '/problems/most-stones-removed-with-same-row-or-column', 'N', '58.8%', 'Medium', '16.8296%;'
'1592', 'Rearrange Spaces Between Words', '/problems/rearrange-spaces-between-words', 'N', '43.7%', 'Easy', '16.7464%;'
'400', 'Nth Digit', '/problems/nth-digit', 'N', '34.1%', 'Medium', '16.7075%;'
'1296', 'Divide Array in Sets of K Consecutive Numbers', '/problems/divide-array-in-sets-of-k-consecutive-numbers', 'N', '56.6%', 'Medium', '16.7075%;'
'981', 'Time Based Key-Value Store', '/problems/time-based-key-value-store', 'N', '53.4%', 'Medium', '16.1284%;'
'64', 'Minimum Path Sum', '/problems/minimum-path-sum', 'N', '60.7%', 'Medium', '16.1104%;'
'1509', 'Minimum Difference Between Largest and Smallest Value in Three Moves', '/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves', 'N', '54.6%', 'Medium', '16.038%;'
'2161', 'Partition Array According to Given Pivot', '/problems/partition-array-according-to-given-pivot', 'N', '84.4%', 'Medium', '15.5885%;'
'295', 'Find Median from Data Stream', '/problems/find-median-from-data-stream', 'N', '51.5%', 'Hard', '15.5257%;'
'306', 'Additive Number', '/problems/additive-number', 'N', '30.9%', 'Medium', '15.4225%;'
'427', 'Construct Quad Tree', '/problems/construct-quad-tree', 'N', '66.3%', 'Medium', '15.4225%;'
'790', 'Domino and Tromino Tiling', '/problems/domino-and-tromino-tiling', 'N', '48.4%', 'Medium', '15.4225%;'
'1268', 'Search Suggestions System', '/problems/search-suggestions-system', 'N', '66.5%', 'Medium', '15.3246%;'
'1302', 'Deepest Leaves Sum', '/problems/deepest-leaves-sum', 'N', '86.9%', 'Medium', '14.9922%;'
'417', 'Pacific Atlantic Water Flow', '/problems/pacific-atlantic-water-flow', 'N', '54.0%', 'Medium', '14.7638%;'
'4', 'Median of Two Sorted Arrays', '/problems/median-of-two-sorted-arrays', 'N', '35.3%', 'Hard', '14.6613%;'
'722', 'Remove Comments', '/problems/remove-comments', 'N', '38.0%', 'Medium', '14.5862%;'
'362', 'Design Hit Counter', '/problems/design-hit-counter', 'Y', '68.4%', 'Medium', '14.4703%;'
'2215', 'Find the Difference of Two Arrays', '/problems/find-the-difference-of-two-arrays', 'N', '69.3%', 'Easy', '14.3562%;'
'2187', 'Minimum Time to Complete Trips', '/problems/minimum-time-to-complete-trips', 'N', '32.0%', 'Medium', '14.328%;'
'2235', 'Add Two Integers', '/problems/add-two-integers', 'N', '89.5%', 'Easy', '14.2564%;'
'556', 'Next Greater Element III', '/problems/next-greater-element-iii', 'N', '34.1%', 'Medium', '14.1336%;'
'752', 'Open the Lock', '/problems/open-the-lock', 'N', '55.5%', 'Medium', '14.1336%;'
'188', 'Best Time to Buy and Sell Stock IV', '/problems/best-time-to-buy-and-sell-stock-iv', 'N', '38.0%', 'Hard', '14.0183%;'
'621', 'Task Scheduler', '/problems/task-scheduler', 'N', '55.8%', 'Medium', '13.982%;'
'300', 'Longest Increasing Subsequence', '/problems/longest-increasing-subsequence', 'N', '51.6%', 'Medium', '13.9181%;'
'211', 'Design Add and Search Words Data Structure', '/problems/design-add-and-search-words-data-structure', 'N', '43.0%', 'Medium', '13.9054%;'
'278', 'First Bad Version', '/problems/first-bad-version', 'N', '43.0%', 'Easy', '13.7415%;'
'1438', 'Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit', '/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit', 'N', '48.0%', 'Medium', '13.5068%;'
'373', 'Find K Pairs with Smallest Sums', '/problems/find-k-pairs-with-smallest-sums', 'N', '38.3%', 'Medium', '13.4079%;'
'1631', 'Path With Minimum Effort', '/problems/path-with-minimum-effort', 'N', '55.4%', 'Medium', '13.3104%;'
'1730', 'Shortest Path to Get Food', '/problems/shortest-path-to-get-food', 'Y', '54.1%', 'Medium', '13.167%;'
'690', 'Employee Importance', '/problems/employee-importance', 'N', '65.2%', 'Medium', '13.167%;'
'79', 'Word Search', '/problems/word-search', 'N', '39.8%', 'Medium', '13.0224%;'
'1275', 'Find Winner on a Tic Tac Toe Game', '/problems/find-winner-on-a-tic-tac-toe-game', 'N', '54.3%', 'Easy', '12.7552%;'
'2336', 'Smallest Number in Infinite Set', '/problems/smallest-number-in-infinite-set', 'N', '71.7%', 'Medium', '12.7552%;'
'881', 'Boats to Save People', '/problems/boats-to-save-people', 'N', '52.7%', 'Medium', '12.4951%;'
'380', 'Insert Delete GetRandom O(1)', '/problems/insert-delete-getrandom-o1', 'N', '52.0%', 'Medium', '12.0344%;'
'297', 'Serialize and Deserialize Binary Tree', '/problems/serialize-and-deserialize-binary-tree', 'N', '55.0%', 'Hard', '12.0062%;'
'772', 'Basic Calculator III', '/problems/basic-calculator-iii', 'Y', '48.6%', 'Hard', '12.0062%;'
'365', 'Water and Jug Problem', '/problems/water-and-jug-problem', 'N', '36.7%', 'Medium', '11.5012%;'
'560', 'Subarray Sum Equals K', '/problems/subarray-sum-equals-k', 'N', '44.0%', 'Medium', '11.4716%;'
'670', 'Maximum Swap', '/problems/maximum-swap', 'N', '47.9%', 'Medium', '11.3423%;'
'1244', 'Design A Leaderboard', '/problems/design-a-leaderboard', 'Y', '68.9%', 'Medium', '11.3423%;'
'193', 'Valid Phone Numbers', '/problems/valid-phone-numbers', 'N', '26.0%', 'Easy', '11.1879%;'
'869', 'Reordered Power of 2', '/problems/reordered-power-of-2', 'N', '63.9%', 'Medium', '11.1879%;'
'384', 'Shuffle an Array', '/problems/shuffle-an-array', 'N', '57.7%', 'Medium', '11.1374%;'
'207', 'Course Schedule', '/problems/course-schedule', 'N', '45.4%', 'Medium', '11.0656%;'
'807', 'Max Increase to Keep City Skyline', '/problems/max-increase-to-keep-city-skyline', 'N', '86.0%', 'Medium', '11.0378%;'
'473', 'Matchsticks to Square', '/problems/matchsticks-to-square', 'N', '40.4%', 'Medium', '10.8917%;'
'990', 'Satisfiability of Equality Equations', '/problems/satisfiability-of-equality-equations', 'N', '50.7%', 'Medium', '10.8917%;'
'935', 'Knight Dialer', '/problems/knight-dialer', 'N', '50.0%', 'Medium', '10.7495%;'
'1353', 'Maximum Number of Events That Can Be Attended', '/problems/maximum-number-of-events-that-can-be-attended', 'N', '32.9%', 'Medium', '10.7495%;'
'1570', 'Dot Product of Two Sparse Vectors', '/problems/dot-product-of-two-sparse-vectors', 'Y', '90.3%', 'Medium', '10.6111%;'
'487', 'Max Consecutive Ones II', '/problems/max-consecutive-ones-ii', 'Y', '49.6%', 'Medium', '10.4762%;'
'791', 'Custom Sort String', '/problems/custom-sort-string', 'N', '69.3%', 'Medium', '10.4762%;'
